ProductID,Category,Product,Cost,Price
1,Subscription,Product_1,2344.0,5421.72
2,Service,Product_2,3959.0,8439.47
3,Software,Product_3,3560.0,8285.78
4,Training,Product_4,1413.0,2936.04
5,Training,Product_5,643.0,1024.04
6,Subscription,Product_6,4586.0,9781.48
7,Hardware,Product_7,324.0,702.03
8,Hardware,Product_8,3732.0,8238.12
9,Service,Product_9,125.0,207.62
10,Software,Product_10,2670.0,5089.38
11,Hardware,Product_11,1392.0,2017.63
12,Service,Product_12,4966.0,10230.23
13,Hardware,Product_13,3798.0,6721.36
14,Training,Product_14,2235.0,3001.32
15,Hardware,Product_15,2783.0,6176.42
16,Hardware,Product_16,791.0,1329.11
17,Training,Product_17,3323.0,7732.44
18,Software,Product_18,1938.0,2188.06
19,Hardware,Product_19,4675.0,9377.81
20,Hardware,Product_20,828.0,2040.01
21,Hardware,Product_21,2244.0,4671.48
22,Subscription,Product_22,507.0,842.35
23,Service,Product_23,2231.0,2920.27
24,Software,Product_24,1493.0,3622.23
25,Subscription,Product_25,215.0,452.79
26,Subscription,Product_26,3816.0,8617.14
27,Hardware,Product_27,1070.0,1513.28
28,Service,Product_28,1660.0,4024.63
29,Subscription,Product_29,2458.0,5272.46
30,Hardware,Product_30,1166.0,1986.67
31,Service,Product_31,1865.0,4649.99
32,Subscription,Product_32,1651.0,2783.03
33,Service,Product_33,1295.0,1476.67
34,Hardware,Product_34,2029.0,3986.48
35,Subscription,Product_35,3128.0,5993.45
36,Hardware,Product_36,802.0,893.79
37,Subscription,Product_37,2748.0,6771.51
38,Subscription,Product_38,1838.0,3857.36
39,Software,Product_39,4992.0,7281.91
40,Service,Product_40,4662.0,5511.66
41,Service,Product_41,2023.0,3559.07
42,Software,Product_42,5000.0,10466.96
43,Training,Product_43,143.0,208.08
44,Subscription,Product_44,3220.0,4905.7
45,Training,Product_45,3138.0,4032.75
46,Service,Product_46,436.0,833.93
47,Service,Product_47,1491.0,2691.62
48,Service,Product_48,3934.0,5053.96
49,Service,Product_49,4445.0,7583.62
50,Hardware,Product_50,1057.0,1626.28
51,Service,Product_51,4189.0,9719.95
52,Service,Product_52,3053.0,7317.22
53,Service,Product_53,2256.0,4417.48
54,Hardware,Product_54,4335.0,6668.16
55,Subscription,Product_55,2684.0,5721.26
56,Subscription,Product_56,1339.0,2514.57
57,Software,Product_57,535.0,730.0
58,Subscription,Product_58,1983.0,2689.74
59,Subscription,Product_59,2231.0,2964.95
60,Subscription,Product_60,3675.0,4639.44
61,Training,Product_61,434.0,745.67
62,Software,Product_62,4074.0,7092.28
63,Software,Product_63,1312.0,1670.33
64,Hardware,Product_64,1768.0,4093.7
65,Service,Product_65,1478.0,3177.57
66,Training,Product_66,4714.0,11064.95
67,Software,Product_67,1839.0,3525.3
68,Hardware,Product_68,4409.0,9583.34
69,Hardware,Product_69,3511.0,8386.3
70,Service,Product_70,4180.0,8559.27
71,Software,Product_71,312.0,467.37
72,Software,Product_72,3329.0,5402.91
73,Software,Product_73,2750.0,3617.04
74,Subscription,Product_74,3870.0,8757.73
75,Service,Product_75,3819.0,7560.47
76,Service,Product_76,4967.0,10039.34
77,Subscription,Product_77,459.0,926.56
78,Training,Product_78,2761.0,6699.25
79,Software,Product_79,1159.0,1617.86
80,Software,Product_80,2417.0,3752.25
81,Training,Product_81,679.0,1267.03
82,Service,Product_82,3224.0,3964.14
83,Subscription,Product_83,1558.0,2237.46
84,Hardware,Product_84,830.0,936.83
85,Subscription,Product_85,1434.0,2357.36
86,Hardware,Product_86,2434.0,4882.69
87,Subscription,Product_87,1087.0,1650.03
88,Training,Product_88,2640.0,6244.2
89,Software,Product_89,1175.0,1883.13
90,Subscription,Product_90,3110.0,5653.09
91,Subscription,Product_91,3749.0,8771.08
92,Subscription,Product_92,2299.0,4341.16
93,Service,Product_93,839.0,1811.47
94,Subscription,Product_94,1626.0,2776.8
95,Service,Product_95,861.0,995.84
96,Hardware,Product_96,3897.0,7977.22
97,Training,Product_97,4157.0,7641.36
98,Subscription,Product_98,787.0,1186.0
99,Subscription,Product_99,748.0,1772.83
100,Hardware,Product_100,2560.0,3348.61
